Namesake,NamingCategory_1,NamingCategory_2,NamingSource
"Kaita Bay, Alaska, US",Geographical,Bay,
"Kalinin Bay, Alaska, US",Geographical,Bay,
"Kanalku Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Admiralty_Island
"Kasaan Bay, Alaska, US",Geographical,Bay,
"Keweenaw Bay, Michigan, US",Geographical,Bay,https://en.wikipedia.org/wiki/Keweenaw_Bay
"Kitkun Bay, Alaska, US",Geographical,Bay,
"Liscombe Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Dall_Island
"Matagorda Bay, Texas, US",Geographical,Bay,https://en.wikipedia.org/wiki/Matagorda_Bay
"Mission Bay, California, US",Geographical,Bay,https://en.wikipedia.org/wiki/Mission_Bay_(San_Diego)
"Mobjack Bay, Virginia, US",Geographical,Bay,https://en.wikipedia.org/wiki/Mobjack_Bay
"Natoma Bay, Alaska, US",Geographical,Bay,
"Nehenta Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Gravina_Island
"Niantic Bay, Connecticut, US",Geographical,Bay,https://en.wikipedia.org/wiki/Niantic_River
"Ommaney Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Baranof_Island
"Onslow Bay, North Carolina, US",Geographical,Bay,https://en.wikipedia.org/wiki/Onslow_Bay
"Orca Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Orca_Bay_(Alaska)
"Oyster Bay, New York, US",Geographical,Bay,https://en.wikipedia.org/wiki/Oyster_Bay_(inlet)
"Perdido Bay, Alabama, US",Geographical,Bay,https://en.wikipedia.org/wiki/Perdido_Bay
"Petrof Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Petrof_Bay
"Pybus Bay, Alaska, US",Geographical,Bay,
"Rehoboth Bay, Delaware, US",Geographical,Bay,https://en.wikipedia.org/wiki/Rehoboth_Bay
"Rockaway Inlet, New York, US",Geographical,Bay,https://en.wikipedia.org/wiki/Rockaway_Inlet
"Rudyerd Bay, Alaska, US",Geographical,Bay,"https://en.wikipedia.org/wiki/Ketchikan_Gateway_Borough,_Alaska"
"Saginaw Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Kuiu_Island
"San Alberto Bay, Alaska, US",Geographical,Bay,
"San Carlos Bay, Florida, US",Geographical,Bay,https://en.wikipedia.org/wiki/San_Carlos_Bay
"San Pablo Bay, California, US",Geographical,Bay,https://en.wikipedia.org/wiki/San_Pablo_Bay
"Sargent Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Revillagigedo_Island
"Shamrock Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Baranof_Island
"Shipley Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Kosciusko_Island
"Sitkoh Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Chichagof_Island
"St. Andrews Bay, Florida, US",Geographical,Bay,https://en.wikipedia.org/wiki/St._Andrews_Bay_(Florida)
"St. Joseph Bay, Florida, US",Geographical,Bay,https://en.wikipedia.org/wiki/St._Joseph_Bay
"Steamer Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/USS_Steamer_Bay
"Suisun Bay, California, US",Geographical,Bay,https://en.wikipedia.org/wiki/Suisun_Bay
"Sunset Bay, Oregon, US",Geographical,Bay,https://en.wikipedia.org/wiki/Sunset_Bay_State_Park
"Takanis Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Yakobi_Island
"Thetis Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Kuiu_Island
"Timbalier Bay, Louisiana, US",Geographical,Bay,https://en.wikipedia.org/wiki/Timbalier_Bay
"Totem Bay, Alaska, US",Geographical,Bay,
"Unimak Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Unimak_Bay
"Vermilion Bay, Louisiana, US",Geographical,Bay,https://en.wikipedia.org/wiki/Vermilion_Bay_(Louisiana)
"Willapa Bay, Washington, US",Geographical,Bay,https://en.wikipedia.org/wiki/Willapa_Bay
"Willoughby Bay, Virginia, US",Geographical,Bay,https://en.wikipedia.org/wiki/Willoughby_Spit
"Windham Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Windham_Bay
"Winyah Bay, South Carolina, US",Geographical,Bay,https://en.wikipedia.org/wiki/Winyah_Bay
"Yakutat Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Yakutat_Bay
"Cape Arkona, Germany",Geographical,Cape,https://en.wikipedia.org/wiki/Cape_Arkona
"Cape Crillon, Russia",Geographical,Cape,https://en.wikipedia.org/wiki/Cape_Crillon
"Cape Kamui, Japan",Geographical,Cape,https://en.wikipedia.org/wiki/Cape_Kamui
"Cape of Good Hope, South Africa",Geographical,Cape,https://en.wikipedia.org/wiki/Cape_of_Good_Hope
"Hel Peninsula, Pomeranian Voivodeship, Poland",Geographical,Cape,https://en.wikipedia.org/wiki/Hel_Peninsula
Africa,Geographical,Continent,https://en.wikipedia.org/wiki/Africa
Americas,Geographical,Continent,https://en.wikipedia.org/wiki/Americas
"Belle Isle, France",Geographical,Island,https://en.wikipedia.org/wiki/Belle_%C3%8Ele
"Castle Rock, Alaska, US",Geographical,Island,https://en.wikipedia.org/wiki/Castle_Rock_(Alaska)
"Cuba, Cuba",Geographical,Island,https://en.wikipedia.org/wiki/Cuba
Curacao,Geographical,Island,https://en.wikipedia.org/wiki/Cura%C3%A7ao
"Edisto Island, South Carolina, US",Geographical,Island,https://en.wikipedia.org/wiki/Edisto_Island
"Estero Island, Florida, US",Geographical,Island,https://en.wikipedia.org/wiki/Estero_Island
Great Britain,Geographical,Island,https://en.wikipedia.org/wiki/Great_Britain
Ireland,Geographical,Island,https://en.wikipedia.org/wiki/Erin
Island of Taiwan,Geographical,Island,https://en.wikipedia.org/wiki/Geography_of_Taiwan
"Jamaica Island, Maine, US",Geographical,Island,https://en.wikipedia.org/wiki/Seavey%27s_Island
"Lesbos, Greece",Geographical,Island,https://en.wikipedia.org/wiki/Lesbos
"Long Island, New York, US",Geographical,Island,https://en.wikipedia.org/wiki/Long_Island
"Luzon, Philippines",Geographical,Island,https://en.wikipedia.org/wiki/Luzon
"Mackinac Island, Michigan, US",Geographical,Island,https://en.wikipedia.org/wiki/Mackinac_Island
"Nagaura Island, Japan",Geographical,Island,
"San Clemente Island, California, US",Geographical,Island,https://en.wikipedia.org/wiki/San_Clemente_Island
"Tenedos, Turkey",Geographical,Island,https://en.wikipedia.org/wiki/Tenedos
"Valcour Island, New York, US",Geographical,Island,https://en.wikipedia.org/wiki/Valcour_Island
"Lake Carnegie, New Jersey, US",Geographical,Lake,https://en.wikipedia.org/wiki/Lake_Carnegie_(New_Jersey)
