FittingID,BatteryID,AmmoID,BatteryRole,BatteryIndex
bb_south_dakota|alabama_1943,20-p-mk6_x52-sd-2,20-he-mk3,AA Battery,4
bb_south_dakota|alabama_1945,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_south_dakota|alabama_1945,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota|alabama_1945,40-t-mk2_x12-sd,40-he-mk1,AA Battery,3
bb_south_dakota|alabama_1945,20-p-mk6_x56-sd,20-he-mk3,AA Battery,4
bc_lexington,406-ag-2-lex_abxy,406-ap-mk3,Primary Gun,1
bc_lexington,152-c-mk13_x16,152-com-mk27,Secondary Gun,2
bc_lexington,76-cp-mk11_x4,76-hc-mk24_76-aa-mk23,AA Battery,3
bc_lexington,533-tt-hull_x8-side,,,
bc_lexington,placeholder_torpedo,,,
bb_south_dakota_1920,406-ag-2-sd_abxy,406-ap-mk3,Primary Gun,1
bb_south_dakota_1920,152-c-mk13_x14,152-com-mk27,Secondary Gun,2
bb_south_dakota_1920,152-p-mk13_x4,152-com-mk27,Secondary Gun,2
bb_south_dakota_1920,76-cp-mk11_x4,76-hc-mk24_76-aa-mk23,AA Battery,3
bb_south_dakota_1920,533-tt-hull_x2-side,,,
bb_south_dakota_1920,placeholder_torpedo,,,
bb_colorado,406-ag-2_abxy,406-ap-mk3,Primary Gun,1
bb_colorado,127-p-p15_x14,127-ap,Secondary Gun,2
bb_colorado,76-cp-mk11_x4,76-hc-mk24_76-aa-mk23,AA Battery,3
bb_colorado,533-tt-hull_x2-side,,,
bb_colorado,placeholder_torpedo,,,
bb_colorado|1922,406-ag-2_abxy,406-ap-mk3,Primary Gun,1
bb_colorado|1922,127-p-p15_x12,127-ap,Secondary Gun,2
bb_colorado|1922,76-cp-mk11_x8,76-hc-mk24_76-aa-mk23,AA Battery,3
bb_colorado|1922,533-tt-hull_x2-side,,,
bb_colorado|1922,placeholder_torpedo,,,
bb_colorado|1928,406-ag-2_abxy,406-ap-mk3,Primary Gun,1
bb_colorado|1928,127-p-p15_x12,127-ap,Secondary Gun,2
bb_colorado|1928,127-p-mk19_x8,127-hc-mk36_127-aac-mk28,AA Battery,3
bb_colorado|1928,533-tt-hull_x2-side,,,
bb_colorado|1928,placeholder_torpedo,,,
bb_colorado|1933,406-ag-2_abxy,406-ap-mk3,Primary Gun,1
bb_colorado|1933,127-p-p15_x12,127-ap,Secondary Gun,2
bb_colorado|1933,127-p-mk19_x8,127-hc-mk36_127-aac-mk28,AA Battery,3
bb_colorado|1933,12-p-mk3_x8-standard,12-b-us,AA Battery,4
bb_colorado|1933,533-tt-hull_x2-side,,,
bb_colorado|1933,placeholder_torpedo,,,
bb_colorado|west_virginia_1941,406-ag-2_abxy,406-ap-mk3,Primary Gun,1
bb_colorado|west_virginia_1941,127-p-p15_x10,127-ap,Secondary Gun,2
bb_colorado|west_virginia_1941,127-p-mk19_x8,127-hc-mk36_127-aac-mk28,AA Battery,3
bb_colorado|west_virginia_1941,76-cp-mk11_x4,76-hc-mk24_76-aa-mk23,AA Battery,4
bb_colorado|west_virginia_1941,12-p-mk3_x11,12-b-us,AA Battery,5
bb_colorado|west_virginia_1941,533-tt-hull_x2-side,,,
bb_colorado|west_virginia_1941,placeholder_torpedo,,,
bb_colorado_mod1,406-ag-2_abxy,406-ap-mk3,Primary Gun,1
bb_colorado_mod1,127-p-p15_x10,127-ap,Secondary Gun,2
