AmmoID,AmmoName,AmmoNation,AmmoCaliber,SurfaceShellWeight,SurfaceShellCharge,SurfaceShellChargeType,AAShellWeight,AAShellCharge,AAShellChargeType,AmmoSource
356-ap-mk20,AP Mark 20,usa,356,680,10.4,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_14-45_mk10.php
356-ap-mk16,AP Mark 16,usa,356,680,10.4,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_14-50_mk11.php
356-ap-mk8-mod3,AP Mark 8 Mod 3,usa,356,636,15.6,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_14-50_mk4.php
356-ap-early,"Early 14"" AP",usa,356,635,14.3,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_14-50_mk4.php
330-ap-mk5-bp,AP Mark 5 (BP),usa,330,513,16.4,Black Powder,0,0,,http://www.navweaps.com/Weapons/WNUS_13-35_mk1.php
330-ap-mk5,AP Mark 5,usa,330,513,16.4,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_13-35_mk1.php
330-ap-mk3-bp,AP Mark 3 (BP),usa,330,513,10,Black Powder,0,0,,http://www.navweaps.com/Weapons/WNUS_13-35_mk1.php
330-ap-mk3,AP Mark 3,usa,330,513,10,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_13-35_mk1.php
305-ap-mk18,AP Mark 18,usa,305,517,7.9,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_12-50_mk8.php#Ammunition
305-ap-mk18,AP Mark 18 (Super Heavy),usa,305,517,7.9,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_12-50_mk8.php
305-ap-mk15,AP Mark 15,usa,305,395,11.3,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_12-50_mk7.php
305-ap-mkviii-bp,AP Mark VIII (BP),usa,305,394.6,11.2,Black Powder,0,0,,http://www.navweaps.com/Weapons/WNUS_12-45_mk5.php
305-ap-mkviii,AP Mark VIII,usa,305,394.6,11.2,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_12-45_mk5.php
305-ap-mkv-bp,AP Mark V (BP),usa,305,394.6,12,Black Powder,0,0,,http://www.navweaps.com/Weapons/WNUS_12-45_mk5.php
305-ap-mkv,AP Mark V,usa,305,394.6,12,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_12-45_mk5.php
305-ap-mkiii-bp,AP Mark III (BP),usa,305,394.6,5.4,Black Powder,0,0,,http://www.navweaps.com/Weapons/WNUS_12-45_mk5.php
305-ap-mkiii,AP Mark III,usa,305,394.6,5.4,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_12-45_mk5.php
305-ap-870-early,"AP 12"" 870 lbs Early",usa,305,394.6,8.2,Black Powder,0,0,,http://www.navweaps.com/Weapons/WNUS_12-35_mk1.php
305-ap-870,"AP 12"" 870 lbs",usa,305,394.6,11,Black Powder,0,0,,http://www.navweaps.com/Weapons/WNUS_12-35_mk1.php
254-ap-9.8,"AP 10"" 9.8 lbs",usa,254,231,4.4,Black Powder,0,0,,http://www.navweaps.com/Weapons/WNUS_10-30_mk1.php
254-ap-13-bp,"AP 10"" 13 lbs (BP)",usa,254,231,6,Black Powder,0,0,,http://www.navweaps.com/Weapons/WNUS_10-40_mk3.php
254-ap-13,"AP 10"" 13 lbs",usa,254,231,6,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_10-40_mk3.php
203-ap-mk21_hc-mk24,AP Mark 21 + HC Mark 24,usa,203,152,2.3,Explosive D,118,9.7,Explosive D,http://www.navweaps.com/Weapons/WNUS_8-55_mk16.php
203-ap-mk21,AP Mark 21,usa,203,152,2.3,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_8-55_mk16.php
203-ap-naval-early-bp,"Naval 8"" AP Early (BP)",usa,203,118,2.3,Black Powder,0,0,,http://www.navweaps.com/Weapons/WNUS_8-35_mk3.php
203-ap-naval-bp,"Naval 8"" AP (BP)",usa,203,118,2.7,Black Powder,0,0,,http://www.navweaps.com/Weapons/WNUS_8-45_mk6.php
203-ap-naval,"Naval 8"" AP",usa,203,118,2.8,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_8-45_mk6.php
203-ap-mk19,AP Mark 19,usa,203,118,1.7,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_8-55_mk12-15.php
178-ap-mk6-bp,AP Mark 6 (BP),usa,178,74.8,2,Black Powder,0,0,,http://www.navweaps.com/Weapons/WNUS_7-45_mk2.php
178-ap-mk6,AP Mark 6,usa,178,74.8,2,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_7-45_mk2.php
152-ap-mk35_152-hc-mk39,"6"" AP Mark 35 + 6"" HC Mark 39",usa,152,59,0.9,Explosive D,48,6.4,Explosive D,http://www.navweaps.com/Weapons/WNUS_6-47DP_mk16.php
152-ap-mk35,"6"" AP Mark 35",usa,152,59,0.9,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_6-47_mk16.php
152-ap-4-bp,"6"" AP 2.4 lbs (BP)",usa,152,47.7,1.1,Black Powder,0,0,,http://www.navweaps.com/Weapons/WNUS_6-50_mk8.php
152-ap-4,"6"" AP 2.4 lbs",usa,152,47.7,1.1,Explosive D,0,0,,http://www.navweaps.com/Weapons/WNUS_6-50_mk8.php
152-he-gre,"6"" HE",usa,152,47.6,9.1,,0,0,,http://www.navweaps.com/Weapons/WNUS_6-44_mk9.php
